BookID,Book Name,Author,Publishing Year,Genre,Book Average Rating,Book Rating Count,Publisher 
1,The House at Pooh Corner,"A.A. Milne, Ernest H. Shepard",1928,Children's Literature,4.36,69102,"Amazon Digital Services,  Inc."
2,The Silent Wife,A.S.A. Harrison,2013,Thriller,3.3,60323,"Amazon Digital Services,  Inc."
3,"Fallen Too Far (Too Far, #1)",Abbi Glines,2012,Romance,4.21,138871,Penguin Group (USA) LLC
4,"Never Too Far (Too Far, #2)",Abbi Glines,2013,Romance,4.21,97616,"Amazon Digital Services,  Inc."
5,The Orphan Master's Son,Adam Johnson,2012,Literary Fiction,4.06,52765,Macmillan
6,Go the Fuck to Sleep,"Adam Mansbach, Ricardo Cortes",2011,Children's Literature,4.26,71816,"Amazon Digital Services,  Inc."
7,Aesopica,"Aesop, Laura Harris, Laura Gibbs",-560,Classics,4.05,88508,"Amazon Digital Services,  Inc."
8,The Mysterious Affair at Styles,Agatha Christie,1920,Mystery,3.98,135514,"Amazon Digital Services,  Inc."
9,The Murder of Roger Ackroyd,Agatha Christie,1926,Mystery,4.2,71354,"Amazon Digital Services,  Inc."
10,Murder at the Vicarage,Agatha Christie,1930,Mystery,4.03,93963,HarperCollins Publishing
11,Murder in the Calais Coach,Agatha Christie,1934,Mystery,4.16,138444,"Amazon Digital Services,  Inc."
12,The Art of Forgetting,Ahlam Mosteghanemi,2012,Literary Fiction,3.72,42958,Simon and Schuster Digital Sales Inc
13,The Sweetness at the Bottom of the Pie,Alan Bradley,2009,Mystery,3.81,99841,Penguin Group (USA) LLC
14,Moloka'i,Alan Brennert,2003,Historical Fiction,4.15,75307,HarperCollins Christian Publishing
15,Batman: The Killing Joke ,"Alan Moore, Brian Bolland, Tim Sale",1988,Action,4.36,113855,Random House LLC
16,La peste,"Albert Camus, Stuart Gilbert",1947,Literary Fiction,3.97,95803,"Amazon Digital Services,  Inc."
17,Brave New World/Brave New World Revisited,"Aldous Huxley, Christopher Hitchens",1932,Science Fiction,4.16,108124,"Amazon Digital Services,  Inc."
18,One Day in the Life of Ivan Denisovich,"Aleksandr Solzhenitsyn, H.T. Willetts",1962,Classics,3.94,61678,Hachette Book Group
19,"Beastly (Beastly, #1, Kendra Chronicles, #1)",Alex Flinn,2007,Fantasy,3.84,150003,"Amazon Digital Services,  Inc."
20,The Beach,Alex Garland,1996,Thriller,3.91,52333,Hachette Book Group
21,Roots,Alex Haley,1976,Historical Fiction,4.42,118951,Macmillan
22,The Darkest Minds,Alexandra Bracken,2012,Young Adult,4.26,83886,Hachette Book Group
23,Wallbanger,Alice Clayton,2012,Romance,4.1,134805,"Amazon Digital Services,  Inc."
24,Lucky,Alice Sebold,1999,Literary Fiction,3.77,77462,"Amazon Digital Services,  Inc."
25,Fun Home: A Family Tragicomic,Alison Bechdel,2006,Biography/Autobiography/Memoir,4.12,48305,Hachette Book Group
26,Howl and Other Poems ,"Allen Ginsberg, William Carlos Williams",1956,Essays/Journalism,4.14,71968,HarperCollins Publishers
27,Hyperbole and a Half,Allie Brosh,2013,Self-Help and Instruction,4.17,118910,Penguin Group (USA) LLC
28,"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,2006,Young Adult,3.82,150222,Hachette Book Group
29,Heist Society,Ally Carter,2010,Thriller,3.91,75834,Random House LLC
30,Crossed,Ally Condie,2011,Young Adult,3.52,100886,"Amazon Digital Services,  Inc."
