Prim_Author,total_gross_sales,book_count,total_units_sold,sales_rank
"Stephen King",57371.06,43,402880,1
"Harper Lee",47795.00,1,5500,2
"David Sedaris",42323.41,3,15193,3
"Charlaine Harris",39453.08,10,47249,4
"Laini Taylor",38278.41,2,8990,5
"C.S. Lewis",34217.93,4,9765,6
Unknown,34160.00,1,7000,7
"Sarah Dessen",31034.85,5,42832,8
"Colleen Hoover",30882.07,7,123522,9
"Brandon Sanderson",28877.45,7,53460,10
"Jeffrey Eugenides",27984.38,2,8163,11
"Charles Duhigg",27491.67,1,3933,12
"Michael Crichton",27286.16,8,90396,13
"John Berendt",26182.00,1,3800,14
"Frances Hodgson Burnett",23792.34,1,3666,15
"Nick Hornby",21835.82,3,6708,16
"Margery Williams Bianco",21797.82,1,3333,17
"Nicholas Sparks",20660.99,10,20735,18
"Victoria Aveyard",19960.00,1,4000,19
"Charles Dickens",19383.75,2,5935,20
"John Grisham",18485.51,13,91626,21
"Robert Ludlum",17783.30,1,1630,22
"Douglas Adams",17185.09,5,13624,23
"H.G. Wells",16726.74,3,41323,24
"Robert M. Pirsig",16297.34,1,3266,25
"Sara Shepard",15968.00,1,3200,26
"E.H. Gombrich",15058.27,1,1753,27
"Jodi Picoult",14436.34,11,78464,28
"Frank Miller",14386.81,2,8219,29
"P.C. Cast",14085.27,5,5898,30
"Diana Gabaldon",13475.39,5,40107,31
"Miguel de Cervantes Saavedra",13413.08,1,1492,32
"Laura Ingalls Wilder",13307.86,4,8904,33
"Emily Giffin",12531.01,4,38250,34
"P.D. Eastman",11757.16,2,6049,35
"Kate Atkinson",11702.67,1,2933,36
"Thomas Hardy",11573.73,2,6369,37
"Garth Nix",11207.67,3,37026,38
"Anthony Bourdain",11057.54,1,1846,39
"Ally Carter",10986.48,2,952,40
"Christopher Paolini",10731.05,1,895,41
"Sherman Alexie",10384.00,1,1600,42
"Kenneth Grahame",10327.30,1,305,43
"Margaret Atwood",10265.76,3,6592,44
"Jostein Gaarder",10224.00,1,960,45
"Paulo Coelho",10144.39,5,43487,46
"Becca Fitzpatrick",10034.55,2,55491,47
"Beatrix Potter",9890.85,1,1415,48
"Jess Walter",9818.45,1,655,49
"Jules Verne",9700.90,3,6010,50
"Jhumpa Lahiri",9502.92,3,64309,51
"James Patterson",9480.31,7,45968,52
"Janet Evanovich",9425.28,10,216729,53
"Gustave Flaubert",9308.67,1,2333,54
"Mark Cotta Vaz",9230.98,2,62520,55
Voltaire,8982.00,1,1800,56
"Isabel Allende",8900.14,2,6472,57
"Terry Pratchett",8720.44,7,22215,58
"Daniel James Brown",8482.43,1,1307,59
"Agatha Christie",8266.43,4,10157,60
"Robert A. Heinlein",8242.99,2,44391,61
"William Shakespeare",8113.61,6,2174,62
"Arthur Conan Doyle",8030.93,4,8818,63
"David McCullough",7814.40,1,660,64
"Lauren Kate",7778.65,3,6883,65
"Jonathan Franzen",7688.15,2,1685,66
"Robert Jordan",7656.78,11,146148,67
"J.R. Ward",7504.73,7,49033,68
"Chelsea Handler",7233.85,3,6038,69
"Tom Clancy",7195.12,2,1388,70
"Chris Bohjalian",6885.89,1,1061,71
"Richard Bach",6751.47,1,1353,72
"Aravind Adiga",6711.60,1,840,73
"Tsugumi Ohba",6687.24,1,1676,74
"Cassandra Clare",6676.62,1,1338,75
"J.R.R. Tolkien",6631.22,2,6314,76
"Philippa Gregory",6494.42,4,5351,77
"Jennifer L. Armentrout",6425.10,3,46548,78
"Mikhail Bulgakov",6320.16,1,1584,79
"Don Freeman",6234.67,1,3133,80
"Jim Butcher",6037.44,10,145827,81
"Dave Eggers",5961.66,3,35871,82
"John Knowles",5924.47,1,1523,83
"Lionel Shriver",5902.92,1,6156,84
"Sarah J. Maas",5748.90,5,66727,85
"Ursula K. Le Guin",5740.77,3,1782,86
"Susanna Clarke",5593.00,1,700,87
"Sophie Kinsella",5483.36,6,20311,88
"Kate Morton",5468.03,3,8628,89
"Gabrielle Zevin",5444.75,1,725,90
"Arthur Miller",5433.18,1,498,91
"Dennis Lehane",5367.43,2,44249,92
"Allie Brosh",5269.53,1,483,93
"Eckhart Tolle",5254.32,2,936,94
"Jeffery Deaver",5253.22,1,478,95
"Jonas Jonasson",5200.65,1,585,96
"Haruki Murakami",5152.85,5,107081,97
"Jeannette Walls",5107.74,1,426,98
"Richelle Mead",5076.04,3,8324,99
"Libba Bray",4966.39,1,1661,100
"Christopher Moore",4920.21,2,48618,101
"Lemony Snicket",4909.00,8,158973,102
"Barack Obama",4885.25,2,1475,103
"Jennifer Egan",4690.60,1,940,104
"Norton Juster",4509.34,1,2266,105
"Mary Roach",4473.00,1,420,106
"Miguel Ruiz",4388.34,1,366,107
"Neil Gaiman",4250.83,3,1302,108
"Samantha Young",3905.78,1,358,109
"Johanna Spyri",3730.65,1,935,110
"Justin Cronin",3710.97,2,903,111
"John Gray",3703.39,1,1861,112
"Rachel Joyce",3694.60,1,290,113
"Michael  Grant",3678.30,1,670,114
"Kristin Hannah",3658.37,3,5231,115
"Michael Pollan",3653.79,2,7251,116
"Ishmael Beah",3643.44,1,456,117
"Christopher McDougall",3642.70,1,730,118
"Natalie Babbitt",3582.00,1,1800,119
"Robin Hobb",3542.55,3,40719,120
"Gaston Leroux",3531.15,1,885,121
"Jojo Moyes",3516.19,3,11893,122
"Bill Martin Jr.",3472.49,2,751,123
"Jose Saramago",3451.35,1,865,124
"Malcolm Gladwell",3385.96,2,9126,125
"Chuck Palahniuk",3308.80,5,97134,126
"Marissa Meyer",3272.62,3,5013,127
"Rick Riordan",3243.39,4,13905,128
"Jamie McGuire",3221.52,1,248,129
"Marie Lu",3213.21,2,5073,130
"Howard Zinn",3192.00,1,800,131
"Orson Scott Card",3141.20,3,37637,132
"Celeste Ng",3112.20,1,780,133
"Ken Follett",3102.99,3,5175,134
"Phaidon Press",3060.17,1,383,135
"Victor Hugo",3013.71,1,381,136
"Chimamanda Ngozi Adichie",2992.50,1,750,137
"Abbi Glines",2990.16,2,30782,138
"Patrick Ness",2978.47,2,8937,139
"Brent Weeks",2944.40,4,9197,140
"William Faulkner",2906.78,2,6754,141
"Jeff Kinney",2898.71,5,97793,142
"Isaac Asimov",2845.85,3,43107,143
"Barbara Kingsolver",2829.86,4,58960,144
"Cormac McCarthy",2796.50,3,57023,145
"Justin Halpern",2775.00,1,370,146
"Susanna Kaysen",2724.31,1,1369,147
"Arthur C. Clarke",2695.43,2,10611,148
"Kate DiCamillo",2675.97,2,5993,149
"Kenneth Branagh",2639.34,1,2666,150
"Mary Kubica",2620.72,1,328,151
"Raina Telgemeier",2618.07,1,273,152
"Tite Kubo",2605.92,1,488,153
