Genre,average_rating,total_gross_sales,total_units_sold
Action,4.336000,15419.86,54147
"Children's Literature",4.144865,144444.25,775466
Fantasy,4.135750,382638.13,1614175
Adventure,4.074167,11257.85,100016
Biography/Autobiography/Memoir,4.057903,74229.84,405080
"Young Adult",4.052353,93712.02,721390
"Historical Fiction",4.048525,94478.76,620100
Crime,4.036400,20695.04,374837
Mystery,4.020476,50464.85,100943
"Science Fiction",4.011045,123775.18,701352
Essays/Journalism,3.976136,82976.72,628497
"Self-Help & Instruction",3.974857,112440.25,288918
Romance,3.965824,161654.49,1060650
Thriller,3.907627,106669.09,600103
Horror,3.878868,58903.12,654594
Classics,3.875854,129565.62,351195
"Literary Fiction",3.841701,315992.00,1285593
