Genre,Publishing_Year,total_gross_sales,average_rating
Action,1986,1949.31,4.250000
Action,1987,12437.50,4.230000
Action,1988,455.40,4.360000
Action,1997,458.85,4.420000
Action,2010,118.80,4.420000
Adventure,1812,355.81,3.920000
Adventure,1872,4434.45,3.900000
Adventure,1905,648.09,4.060000
Adventure,1906,1703.17,3.940000
Adventure,1978,708.63,4.160000
Adventure,1993,594.51,3.600000
Adventure,1997,634.41,4.070000
Adventure,2004,425.70,4.180000
Adventure,2006,1074.35,4.240000
Adventure,2007,349.83,4.230000
Adventure,2010,328.90,4.350000
Biography/Autobiography/Memoir,1853,543.91,4.150000
Biography/Autobiography/Memoir,1902,347.49,4.070000
Biography/Autobiography/Memoir,1958,438.90,4.090000
Biography/Autobiography/Memoir,1964,813.37,4.040000
Biography/Autobiography/Memoir,1965,2025.94,4.290000
Biography/Autobiography/Memoir,1984,948.10,4.290000
Biography/Autobiography/Memoir,1985,1182.63,4.040000
Biography/Autobiography/Memoir,1986,111.87,4.530000
Biography/Autobiography/Memoir,1987,1886.22,4.610000
Biography/Autobiography/Memoir,1991,1018.74,4.320000
Biography/Autobiography/Memoir,1992,343.85,4.420000
Biography/Autobiography/Memoir,1994,316.94,4.310000
Biography/Autobiography/Memoir,1995,1641.75,3.810000
Biography/Autobiography/Memoir,1996,151.47,4.060000
Biography/Autobiography/Memoir,1998,1544.62,4.120000
Biography/Autobiography/Memoir,1999,1943.50,4.310000
Biography/Autobiography/Memoir,2000,1925.92,4.140000
Biography/Autobiography/Memoir,2003,3204.15,3.975000
Biography/Autobiography/Memoir,2004,2545.76,3.850000
Biography/Autobiography/Memoir,2005,3235.94,3.943333
Biography/Autobiography/Memoir,2006,4876.90,4.108571
Biography/Autobiography/Memoir,2007,10359.39,3.994000
Biography/Autobiography/Memoir,2008,408.74,4.080000
Biography/Autobiography/Memoir,2009,3863.59,4.215000
Biography/Autobiography/Memoir,2010,7332.99,3.894000
Biography/Autobiography/Memoir,2011,2731.62,3.854000
Biography/Autobiography/Memoir,2012,5163.23,3.956667
Biography/Autobiography/Memoir,2013,8482.43,4.320000
Biography/Autobiography/Memoir,2014,1245.92,3.330000
Biography/Autobiography/Memoir,2015,2121.65,4.145000
Biography/Autobiography/Memoir,2016,1472.31,4.155000
"Children's Literature",1812,1811.37,4.310000
"Children's Literature",1823,466.83,4.360000
"Children's Literature",1835,708.58,4.280000
"Children's Literature",1880,3730.65,3.970000
"Children's Literature",1894,113.85,3.940000
"Children's Literature",1901,9890.85,4.170000
"Children's Literature",1905,23792.34,4.200000
"Children's Literature",1908,11837.41,4.200000
"Children's Literature",1909,117.81,4.210000
"Children's Literature",1922,21797.82,4.290000
"Children's Literature",1928,214.92,4.360000
"Children's Literature",1930,593.81,4.150000
"Children's Literature",1932,697.95,4.160000
"Children's Literature",1934,349.83,4.050000
"Children's Literature",1939,712.80,4.220000
"Children's Literature",1941,873.75,4.170000
"Children's Literature",1942,1506.84,4.090000
"Children's Literature",1945,1330.37,3.995000
"Children's Literature",1947,470.25,3.410000
"Children's Literature",1948,6234.67,4.280000
"Children's Literature",1953,5195.91,4.330000
"Children's Literature",1954,112.86,4.160000
"Children's Literature",1955,1666.62,4.105000
"Children's Literature",1960,11302.76,4.140000
