Publishing_Year,Genre,Publisher,Author_Rating,average_rating
-380,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.900000
-430,Classics,"Hachette Book Group",Intermediate,3.670000
-441,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.600000
-560,Classics,"Amazon Digital Services,  Inc.",Excellent,4.050000
1308,Classics,"Amazon Digital Services,  Inc.",Excellent,4.060000
1320,Classics,"Hachette Book Group",Intermediate,3.990000
1390,"Literary Fiction","Amazon Digital Services,  Inc.",Novice,3.480000
1593,Classics,"Hachette Book Group",Intermediate,3.810000
1596,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.780000
1599,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.650000
1601,Classics,"Penguin Group (USA) LLC",Intermediate,3.970000
1603,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.890000
1605,Classics,"Hachette Book Group",Intermediate,3.850000
1623,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.800000
1667,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.800000
1678,Classics,"Penguin Group (USA) LLC",Intermediate,3.980000
1759,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.760000
1812,"Children's Literature","Amazon Digital Services,  Inc.",Intermediate,4.310000
1812,Adventure,"Amazon Digital Services,  Inc.",Intermediate,3.920000
1823,"Children's Literature","Amazon Digital Services,  Inc.",Excellent,4.360000
1826,"Historical Fiction","Amazon Digital Services,  Inc.",Intermediate,3.690000
1830,Essays/Journalism,"Random House LLC",Excellent,4.370000
1831,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.970000
1835,"Children's Literature","Amazon Digital Services,  Inc.",Excellent,4.280000
1847,Classics,"Amazon Digital Services,  Inc.",Intermediate,3.760000
1848,Essays/Journalism,"Amazon Digital Services,  Inc.",Intermediate,3.510000
1849,Classics,"Hachette Book Group",Intermediate,3.960000
1852,"Historical Fiction",HarperCollins,Intermediate,3.830000
1853,Biography/Autobiography/Memoir,"Random House LLC",Excellent,4.150000
1853,Classics,HarperCollins,Intermediate,4.000000
1854,Classics,"Amazon Digital Services,  Inc.",Excellent,4.130000
1854,Essays/Journalism,"Random House LLC",Intermediate,3.790000
